-0.026487;2.275020
-0.115711;-18.683361
2.999159;170.731277
-24.189905;-1532.235718
219.914154;13794.944336
-1975.948853;-124149.429688
17786.537109;1117350.750000
-160075.078125;-10056149.000000
1440680.000000;90505352.000000
-12966117.000000;-814548224.000000
116695048.000000;7330933760.000000
-1050255488.000000;-65978404864.000000
9452299264.000000;593805639680.000000
-85070692352.000000;-5344251084800.000000
765636247552.000000;48098256617472.000000
-6890726621184.000000;-432884317945856.000000
62016542736384.000000;3895958928621568.000000
-558148884627456.000000;-35063634115690496.000000
5023340062310400.000000;315572722073600000.000000
-45210054118342656.000000;-2840154258144231424.000000
406890495655018496.000000;25561386948908548096.000000
-3662014460895166464.000000;-230052489137246699520.000000
32958131522446032896.000000;2070472367050848206848.000000
-296623185901037551616.000000;-18634250318295215374336.000000
2669608602740593786880.000000;167708249486957217841152.000000
-24026478832040227635200.000000;-1509374281411411979534336.000000
216238282466764284493824.000000;13584369109163460119232512.000000
-1946144758373660674228224.000000;-122259319676628131859398656.000000
17515301095980689157783552.000000;1100333821749420965605933056.000000
-157637721393041248488521728.000000;-9903004395744788690453397504.000000
1418739381856906794139385856.000000;89127045464661201801137094656.000000
-12768655617303781864665776128.000000;-802143361958285987513781714944.000000
114917900555734036781991985152.000000;7219290333182437613538358853632.000000
-1034261123891072262516508721152.000000;-64973611789716118907216054976512.000000
9308349208325285651676697460736.000000;584762564135884411667144880685056.000000
-83775145292779210094348626558976.000000;-5262863154594212160340571107360768.000000
753976355992045675434304627277824.000000;47365764677527791586924315268874240.000000
-6785786894443401257563672920719360.000000;-426291921711831381414487634191843328.000000
61072078336170493461932231589101568.000000;3836627255792401175598219910954614784.000000
-549648744639615698289558881073889280.000000;-34529646252869560751556030321118937088.000000
4946838503686134998945185945805127680.000000;inf
-44521547167000515104621374260597751808.000000;-nan
inf;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
-nan;-nan
